cluster name,RA,Dec,r,phi,z,ghpmra,ghpmra_err,ghpmdec,ghpmdec_err,pmra,pmra_err,pmdec,pmdec_err,ra,dec,surr_ra,surr_ra_err,surr_dec,surr_dec_err,surr_N,surr_disp
NGC 1644,69.4125,-66.2,4.95,3.07,0.23,1.979,0.004,-0.044,0.004,1.708,0.123,-0.304,0.131,04 37 39.0,-66 12 00,1.752,0.043,-0.219,0.043,111,0.119
NGC 1651,69.38554167,-70.58575278,2.23,2.58,2.14,1.941,0.178,-0.325,0.158,1.941,0.178,-0.325,0.158,04 37 32.530,-70 35 08.71,1.9603,0.0318,-0.113,0.0319,260,
NGC 1652,69.595875,-68.67236389,3.43,2.77,0.58,1.846,0.003,-0.377,0.003,1.783,0.325,-0.667,0.339,04 38 23.010,-68 40 20.51,,,,,,
NGC 1756,73.70470833,-69.23616667,,,,1.859,0.01,-0.049,0.01,1.859,0.01,-0.049,0.01,04 54 49.130,-69 14 10.20,1.877,0.025,-0.051,0.025,2694,0.187
NGC 1783,74.78579167,-65.98773333,3.99,3.49,1.05,1.645,0.01,0.024,0.01,1.626,0.043,-0.019,0.05,04 59 08.590,-65 59 15.84,1.679,0.025,-0.03,0.025,2547,0.162
NGC 1786,74.781125,-67.74595556,2.74,3.41,1.42,1.953,0.098,0.054,0.159,1.953,0.098,0.054,0.159,04 59 07.470,-67 44 45.44,1.786,0.026,0.015,0.026,2317,0.201
NGC 1806,75.54658333,-67.98496944,2.39,3.34,0.95,1.812,0.009,-0.013,0.009,1.857,0.064,-0.043,0.067,05 02 11.180,-67 59 05.89,1.821,0.026,-0.017,0.026,2054,0.235
NGC 1818,76.05541667,-66.43485278,3.31,3.26,-0.83,1.526,0.032,0.126,0.048,1.526,0.032,0.126,0.048,05 04 13.300,-66 26 05.47,,,,,,
NGC 1831,76.5725,-64.91972222,4.88,3.81,2.44,1.681,0.045,-0.001,0.061,1.681,0.045,-0.001,0.061,05 06 17.4,-64 55 11,,,,,,
NGC 1866,78.41216667,-65.46465278,3.72,3.68,0.13,1.567,0.047,0.193,0.072,1.567,0.047,0.193,0.072,05 13 38.920,-65 27 52.75,,,,,,
NGC 1868,78.6525,-63.95713889,4.42,3.32,-3.81,1.619,0.167,0.202,0.257,1.619,0.167,0.202,0.257,05 14 36.60,-63 57 25.7,,,,,,
NGC 1928,80.23308333,-69.47637778,0.44,2.81,-0.25,1.87,0.01,0.305,0.01,1.87,0.01,0.305,0.01,05 20 55.940,-69 28 34.96,,,,,,
NGC 1939,80.36175,-69.94972222,0.11,3.21,0.44,1.972,0.01,0.3,0.01,1.972,0.01,0.3,0.01,05 21 26.82,-69 56 59.0,,,,,,
NGC 1978,82.188875,-66.23667778,2.88,4.07,0.31,1.741,0.01,0.454,0.01,1.785,0.048,0.401,0.058,05 28 45.330,-66 14 12.04,,,,,,
NGC 1987,81.82058333,-70.73726667,,,,2.023,0.009,0.402,0.009,2.023,0.009,0.402,0.009,05 27 16.940,-70 44 14.16,,,,,,
NGC 2108,85.98445833,-69.18176944,,,,1.644,0.01,0.74,0.01,1.644,0.01,0.74,0.01,05 43 56.270,-69 10 54.37,,,,,,
NGC 2159,89.4875,-68.62333333,1.69,5.85,-3.26,1.543,0.075,0.884,0.031,1.543,0.075,0.884,0.031,05 57 57.0,-68 37 24,,,,,,
NGC 2162,90.125875,-63.72172222,4.19,4.56,-1.99,1.444,0.084,0.847,0.076,1.444,0.084,0.847,0.076,06 00 30.21,-63 43 18.2,,,,,,
NGC 2173,89.49166667,-72.97833333,3.43,5.99,3.02,1.94,0.043,0.876,0.031,1.94,0.043,0.876,0.031,05 57 58.0,-72 58 42,,,,,,
NGC 2190,90.25833333,-74.72666667,7.5,0.83,-6.38,1.887,0.052,0.881,0.056,1.887,0.052,0.881,0.056,06 01 02.0,-74 43 36,,,,,,
NGC 2209,92.14166667,-73.84166667,4.3,6.28,1.78,1.888,0.154,0.957,0.171,1.888,0.154,0.957,0.171,06 08 34.0,-73 50 30,,,,,,
NGC 2210,92.8804,-69.1214,3.23,5.66,-1.7,1.55,0.066,1.346,0.025,1.55,0.066,1.346,0.025,06 11 31.296,-69 07 17.04,,,,,,
NGC 2231,95.17970417,-67.5186,3.58,5.56,-2.14,1.701,0.046,1.145,0.114,1.701,0.046,1.145,0.114,06 20 43.129,-67 31 06.96,,,,,,
Hodge 4,83.10791667,-64.73652778,2.66,3.47,-4.64,1.632,0.08,0.379,0.09,1.632,0.08,0.379,0.09,05 32 25.90,-64 44 11.5,,,,,,
Hodge 11,93.5955,-69.84858333,3.32,6.01,-1.52,1.466,0.034,0.989,0.049,1.466,0.034,0.989,0.049,06 14 22.92,-69 50 54.9,,,,,,
